年份,合同名称,详情链接,签订时间,发布时间,采购人,供应商,合同编号,项目编号,采购人地址,采购人联系方式,供应商地址,供应商联系方式,主要标的名称,规格型号或服务要求,主要标的数量,主要标的单价,合同金额,履约期限和地点等简要信息,采购方式,所属地域,所属行业,代理机构,合同签订日期,合同公告日期,合同金额num_万元,id,采购人_纬度,采购人_经度,采购人_省,采购人_省代码,采购人_市,采购人_市代码,采购人_县,采购人_县代码,供应商_纬度,供应商_经度,供应商_省,供应商_省代码,供应商_市,供应商_市代码,供应商_县,供应商_县代码,text,预测分类
2014,政府采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9538dc16901538ded8d631616?contractSign=0,2014-04-16,2014-03-13,徽县环境保护局,成都新红鹰家具有限公司,GSJY-ZC2015030,GSJY-ZC2015030,,,,,,,,,218130.000000万元,,,甘肃省陇南市,租赁和商务服务业,甘肃骄阳招标代理有限责任公司,2014-04-16,2014-04-16,218130.0,2.372029e+06,33.7703315938019,106.083785805384,甘肃省,620000.0,陇南市,621200.0,徽县,621227.0,33.3720865422498,104.957300586955,甘肃省,620000,陇南市,621200,武都区,621202,徽县环境保护局 政府采购合同,合规能力
2014,合同书,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9538dc16901538ded86a6160f?contractSign=0,2014-06-19,2014-04-22,徽县教育局,甘肃晨熙实验器材有限公司,GSJY-ZC2015132,GSJY-ZC2015132,,,,,,,,,2966400.000000万元,,,甘肃省陇南市,教育,甘肃骄阳招标代理有限责任公司,2014-06-19,2014-06-19,2966400.0,2.37203e+06,33.7682445212543,106.08103000702,甘肃省,620000.0,陇南市,621200.0,徽县,621227.0,36.0597116681287,103.823579666472,甘肃省,620000,兰州市,620100,城关区,620102,徽县教育局 合同书,协调能力
2014,徽县教育局2014年改薄设备采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9538dc16901538ded78f2160a?contractSign=0,2014-06-23,2014-04-22,徽县教育局,天水兴龙电子有限公司,GSJY-ZC2015132,GSJY-ZC2015132,,,,,,,,,3099600.000000万元,,,甘肃省陇南市,教育,甘肃骄阳招标代理有限责任公司,2014-06-23,2014-06-23,3099600.0,2.372031e+06,33.7682445212543,106.08103000702,甘肃省,620000.0,陇南市,621200.0,徽县,621227.0,33.3720865422498,104.957300586955,甘肃省,620000,陇南市,621200,武都区,621202,徽县教育局 徽县教育局2014年改薄设备采购合同,协调能力
2014,酒泉市公安局交通警察支队高速一大队营房改造及车管所卫生间改造采购项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a953c55ad20153c64a62cb02ab?contractSign=0,2014-12-04,2014-11-24,酒泉市公安局交通警察支队,酒泉市鹏程建筑工程有限公司,JQZFCG【2015】324号,JQZFCG【2015】324号,,,,,,,,,59.770000万元,,,甘肃省酒泉市,房屋建筑业,酒泉市顺帆工程监理有限责任公司,2014-12-04,2014-12-04,59.77,2.372032e+06,39.7369839913832,98.5022246271092,甘肃省,620000.0,酒泉市,620900.0,肃州区,620902.0,39.7315772410878,98.493565049029,甘肃省,620000,酒泉市,620900,肃州区,620902,酒泉市公安局交通警察支队 酒泉市公安局交通警察支队高速一大队营房改造及车管所卫生间改造采购项目,协调能力
2014,康县茶叶科技开发中心科技富民强县采购项目（第二包）,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9538dc16901538ded9efa1623?contractSign=0,2014-07-25,2015-07-06,康县茶叶科技开发中心,陕西泓亚商贸有限公司,GSJY-ZC2015294,GSJY-ZC2015294,,,,,,,,,79900.000000万元,,,甘肃省陇南市,农、林、牧、渔业,甘肃骄阳招标代理有限责任公司,2014-07-25,2014-07-25,79900.0,2.372033e+06,33.3310876172581,105.605411893179,甘肃省,620000.0,陇南市,621200.0,康县,621224.0,33.3720865422498,104.957300586955,甘肃省,620000,陇南市,621200,武都区,621202,康县茶叶科技开发中心 康县茶叶科技开发中心科技富民强县采购项目（第二包）,协调能力
2014,陇南市实验小学人造草坪运动场采购项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9538dc16901538ded74e21605?contractSign=0,2014-08-27,2015-08-07,陇南市实验小学,扬州云飞教学设备有限公司,GSJY-ZC2015501,GSJY-ZC2015501,,,,,,,,,0.000000万元,,,甘肃省陇南市,教育,甘肃骄阳采购招标代理有限责任公司,2014-08-27,2014-08-27,0.0,2.372034e+06,33.3949949266692,104.920646463921,甘肃省,620000.0,陇南市,621200.0,武都区,621202.0,33.3720865422498,104.957300586955,甘肃省,620000,陇南市,621200,武都区,621202,陇南市实验小学 陇南市实验小学人造草坪运动场采购项目,协调能力
2014,现址临时专线,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa4f1b6225014f3f04fb5b029c?contractSign=0,2014-08-10,2015-08-18,中央电视台,中国有限电视网络有限公司,2015F-N139,0716-1541ZD440338,,,,,,,,,5.400000万元,,,北京市,文化、体育和娱乐业,五矿国际招标有限责任公司,2014-08-10,2014-08-10,5.4,2.372035e+06,39.9049564339192,116.315749833295,北京市,110000.0,北京市,110000.0,海淀区,110108.0,39.9031959764939,116.400758103321,北京市,110000,北京市,110000,东城区,110101,中央电视台 现址临时专线,协调能力
2014,望远镜机械系统,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa4f676e76014f6799915a0015?contractSign=0,2014-06-10,2015-08-26,中国科学院上海天文台,中科院南京耐尔思光电仪器有限公司,宁科技合字【2014】320101,无,,,,,,,,,75.000000万元,,,江苏省,制造业,中国科学院上海天文台,2014-06-10,2014-06-10,75.0,2.372036e+06,32.0606917169899,118.789388061521,江苏省,320000.0,南京市,320100.0,玄武区,320102.0,31.4072363164767,120.890554901616,江苏省,320000,苏州市,320500,昆山市,320583,中国科学院上海天文台 望远镜机械系统,协调能力
2014,EMC屏蔽系统和微波吸收材料,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa4f676e76014f67b165830022?contractSign=0,2014-08-27,2015-08-26,中国科学院上海天文台,常州雷宁电磁屏蔽设备有限公司,SHAO-LN20140721,无,,,,,,,,,112.000000万元,,,江苏省,制造业,中国科学院上海天文台,2014-08-27,2014-08-27,112.0,2.372037e+06,32.0606917169899,118.789388061521,江苏省,320000.0,南京市,320100.0,玄武区,320102.0,31.8400249707399,119.937237564863,江苏省,320000,常州市,320400,新北区,320411,中国科学院上海天文台 EMC屏蔽系统和微波吸收材料,协调能力
2014,望远镜发射接收光学系统：激光器,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa4f676e76014f67aad531001d?contractSign=0,2014-04-04,2015-08-26,中国科学院上海天文台,大恒新纪元科技股份有限公司,无,无,,,,,,,,,75.000000万元,,,北京市市辖区海淀区,制造业,中国科学院上海天文台,2014-04-04,2014-04-04,75.0,2.372038e+06,39.9791580960916,116.319586180213,北京市,110000.0,北京市,110000.0,海淀区,110108.0,39.9811475983206,116.299087322843,北京市,110000,北京市,110000,海淀区,110108,中国科学院上海天文台 望远镜发射接收光学系统：激光器,协调能力
