序号,采购人,合同名称,分类,理由
9200,伊犁哈萨克自治州气象局等四个单位,合同协议书,协调能力,气象服务
9201,民勤县职业中等专业学校,民勤县职业中等专业学校智能温室设施设备、种植及辅助用房工程采购合同,协调能力,职业教育设施
9202,交通运输部公路科学研究所,再生沥青相容性试验仪采购,协调能力,交通科研设备
9203,中国科学院上海有机化学研究所,中国科学院上海有机化学研究所精细化工与先进高分子有机材料综合研究保障平台—分析测试综合保障平台大楼垂直电梯项目,协调能力,科研设施建设
9204,环县文化广播影视局,环县"环州民俗文化产业园"规划设计采购项目,协调能力,文化产业规划
9205,中国气象局公共气象服务中心,气象服务数据业务支撑系统建设软件产品销售合同,协调能力,气象服务系统
9206,定西市体育局,定西市体育局定西体育馆户外P8LED电子显示屏采购项目购销合同,协调能力,体育公共服务
9207,无供应商,&ldquo;中国知网&rdquo;数据库许可与服务合同,协调能力,科研教育数据服务
9208,京津冀环境气象预报预警中心（北京市环境气象中心）,中央国家机关政府采购网上竞价合同,协调能力,环境气象服务
9209,甘肃省新闻出版广电局微波传输中心,甘肃省新闻出版广电局微波传输中心蓄电池购置政府采购项目,协调能力,广电传输服务
9210,静宁县新店乡人民政府,静宁县新店乡孙湾村整村推进孙湾村信息化服务中心平房工程项目,协调能力,乡村信息化建设
9211,嘉峪关市教育局,嘉峪关市教育局特教设备询价采购项目,协调能力,特殊教育服务
9212,定西市农业局,定西市2015年马铃薯晚疫病防治农药采购项目购销合同第一包,协调能力,农业病虫害防治
9213,武威市凉州区古城镇人民政府,武威市凉州区古城镇2015年整村推进基础设施配套建设项目合同,协调能力,乡村基础设施建设
9214,渭源县农业技术推广中心,渭源县农业技术推广中心2015年基层农技推广建设项目供货合同,协调能力,农业技术推广
9215,中国科学院大连化学物理研究所,中国科学院大连化学物理研究所便携式计算机采购项目,协调能力,科研机构设备采购
9216,中国科学院大连化学物理研究所,中国科学院大连化学物理研究所台式计算机采购项目,协调能力,科研机构设备采购
9217,中国科学院大连化学物理研究所,中国科学院大连化学物理研究所联想一体机采购项目,协调能力,科研机构设备采购
9218,中国气象局公共气象服务中心,《中国气象》数字电视频道卫星传输线路服务合同,协调能力,气象媒体服务
9219,兰州新区教育科技文化局,兰州新区2015年标准化学校建设室内外粉刷及维修工程,协调能力,教育设施建设
9220,甘肃省旅游局,省旅游局《甘肃陇东南华夏根脉旅游圈总体规划》二次政府采购项目,协调能力,旅游发展规划
9221,中国科学院大连化学物理研究所,中国科学院大连化学物理研究所便携式计算机采购项目,协调能力,科研机构设备采购
9222,北京市密云水库管理处,密云水库大坝安全鉴定项目技术服务合同,协调能力,水利设施安全
9223,民勤县西渠镇人民政府,民勤县西渠镇人民政府万顺枸杞基地渠道衬砌工程,协调能力,农业水利设施
9224,定西市公安局交警支队城区大队,定西市公安局交警支队城区大队定西城区智能化交通管理建设方案项目购销合同,合规能力,交警智能交通管理
9225,古浪县教育局,古浪县黄花滩移民区初级中学等3所新建学校课桌凳等设备采购项目供货合同（1-3包）,协调能力,教育设施采购
9226,定西师范高等专科学校,定西师范高等专科学校医学、护理专业实验室设备采购项目购销合同第二包,协调能力,高等教育实验室
9227,静宁县雷大乡人民政府,静宁县雷大乡后梁村整村推进砂化道路项目,协调能力,乡村道路建设
9228,交通运输部公路科学研究所,沥青胶浆动态力学试验仪采购,协调能力,交通科研设备
9229,京津冀环境气象预报预警中心（北京市环境气象中心）,中央国家机关政府采购网上竞价合同,协调能力,环境气象服务
9230,无供应商,2014年粮增、高产创建整合资金太阳能供需合同,协调能力,农业粮食生产
9231,民勤农牧局,民勤县农村入地承包经营权确权登记颁证工作测绘项目合同,协调能力,农村土地管理
9232,定西市民政局,定西市第二次全国地名普查技术服务项目购销合同,协调能力,民政地名服务
9233,中国国土资源航空物探遥感中心,地面沉降RADARSAT-2雷达数据采购技术合作与服务合同,协调能力,国土资源遥感服务
9234,民勤县住房和城乡建设局,民勤县住房和城乡建设局住房交易管理系统采购项目,协调能力,住房管理服务
9235,中国科学院光电技术研究所,测长机,协调能力,科研设备采购
9236,渭源县农业技术推广中心,农技中心旱作农业示范区建设项目地膜供货合同,协调能力,农业技术推广
9237,定西市农业局,定西市2015年马铃薯晚疫病防治农药采购项目购销合同第四包,协调能力,农业病虫害防治
