序号,采购人,合同名称,分类,理由
0,渭源县国土局,渭源县2014年度土地变更调查与遥感监测工作服务项目,提取能力,获取土地资源信息
1,文县文体局,文县文体局非物质文化遗产保护中心家电采购项目,协调能力,组织文化保护服务
2,无供应商,采购合同,协调能力,信息不足默认政府日常采购
3,庆阳市西峰区陇东职业中等专业学校,庆阳市西峰区陇东职业中等专业学校国家示范校建设人才培养就业竞争力提升项目,协调能力,组织职业教育服务
4,庆阳市西峰区陇东职业中等专业学校,庆阳市西峰区陇东职业中等专业学校国家示范校建设人才培养就业竞争力提升项目,协调能力,组织职业教育服务
5,无供应商,政府采购合同,协调能力,信息不足默认政府日常采购
6,东乡族自治县第二中学,东乡县第二中学冬季取暖用煤采购项目购销合同,协调能力,保障学校教学运转
7,无供应商,2015年贵州省牲畜耳标招标采购合同,提取能力,采集畜牧追溯信息
8,无供应商,兴仁县公安局办公区附属-土建、绿化工程建设工程施工合同,合规能力,增强执法机构能力
9,文县广电局,办公家具采购协议,协调能力,组织宣传公共服务
10,渭源县农牧局,渭源县农牧局培训资料印刷供货合同,协调能力,组织农业技术推广
11,永靖县机关事务管理局,永靖县机关事务管理局司法楼会议室音响、桌椅及空调设备采购项目政府采购购销合同,合规能力,增强司法机构能力
12,永靖县机关事务管理局,永靖县机关事务管理局司法楼会议室音响、桌椅及空调设备采购项目政府采购购销合同,合规能力,增强司法机构能力
13,岷县职业中等专业学校,岷县职业中等专业学校购置工程测量实训设备采购项目合同,协调能力,组织职业教育服务
14,广河县农村能源办公室,广河县2013年农村沼气项目建设政府采购购销合同,协调能力,组织农村能源建设
15,广河县农村能源办公室,广河县2013年农村沼气项目建设政府采购购销合同,协调能力,组织农村能源建设
16,上海市职工保障互助会,社区事务一口式受理职保业务信息系统采购合同,提取能力,采集职工社保信息
17,岷县农牧局,岷县农牧局2014年度巩固退耕还林成果农产品基地建设项目所需物资采购项目供货合同,协调能力,组织生态农业项目
18,岷县农牧局,岷县农牧局2014年度巩固退耕还林成果农产品基地建设项目所需物资采购项目供货补充合同,协调能力,组织生态农业项目
19,岷县农牧局,岷县农牧局2014年度巩固退耕还林成果农产品基地建设项目所需物资采购项目供货合同,协调能力,组织生态农业项目
20,岷县农牧局,岷县农牧局2014年度巩固退耕还林成果农产品基地建设项目所需物资采购项目供货合同,协调能力,组织生态农业项目
21,秦安县教育体育局,2015年春季学期秦安县农村义务教育学生营养改善计划食品采购项目政府采购合同,协调能力,组织教育公共服务
22,天水市秦州区农业局,天水市秦州区基层农机推广体系改革与建设补助项目农资（第一包采购合同）,协调能力,组织农业技术推广
23,海口市公安消防支队,消防车辆,合规能力,增强消防执法能力
24,临夏市房地产管理局,临夏市数字房产管理平台及历史房产档案数字化加工项目,提取能力,采集房产登记信息
25,广河县庄窠集镇人民政府,广河县庄窠集镇宋家山村核桃基地建设项目竞争性谈判,协调能力,组织农业产业发展
26,广河县城关镇人民政府,广河县城关镇大杨家村啤特果基地建设项目竞争性谈判,协调能力,组织农业产业发展
27,海口市公安局交通警察支队,统一城区道路中间隔离护栏规格、尺寸、样式、颜色项目,合规能力,增强交通执法管控
28,岷县县委党校,岷县党校"富民兴陇"系列讲座视频会议系统设备采购项目供销合同,协调能力,组织干部培训教育
29,临泽县工业和信息化局,临泽县扎尔墩滩工业集中区环境影响评价工程（评价技术咨询、报告编制、评审评估）合同,合规能力,环境合规监管审批
30,广河县林业局,广河县2014年天然林资源保护工程二期建设人工造林苗木采购项目竞争性谈判采购合同,协调能力,组织生态保护工程
31,无供应商,钟山区城管局环卫专用车辆采购项目,协调能力,组织城市公共服务
32,兰州市七里河区人民医院,兰州市七里河区人民医院医疗设备采购项目购销合同,协调能力,组织公共医疗服务
33,秦安县文化广播影视局,秦安县2013-2014年农家书屋补充更新出版物采购项目,协调能力,组织文化公共服务
34,海口市公安局交通警察支队,统一城区道路中间隔离护栏规格、尺寸、样式、颜色项目工程监理,合规能力,增强交通执法管控
35,渭源县国土资源管理局,渭源县耕地质量等别调查评价与监测工作服务项目供货合同,提取能力,获取土地资源信息
36,皋兰县住房和城乡建设局,皋兰县住房和城乡建设局春季绿化苗木采购项目购销合同,协调能力,组织城市绿化建设
37,渭源县国土资源管理局,渭源县耕地后备资源调查评价工作服务项目供货合同,提取能力,获取土地资源信息
38,岷县闾井镇人民政府,岷县闾井镇和平村整村推进所需物资采购项目供销合同,协调能力,组织扶贫开发项目
39,徽县果树站,徽县2014年度巩固退耕还林成果后续产业中药材生产基地建设采购项目,协调能力,组织农业产业发展
40,和政县人民政府政务中心,和政县人民政府政务中心电子政务监察平台项目,合规能力,增强政务监察能力
41,上海市金山区水利管理所,上海市西部地区流域泄洪通道防洪堤防达标工程（金山区白牛塘）勘察、设计、施工一体化项目,协调能力,组织水利基础设施
42,永靖县人民医院,永靖县人民医院X线电子计算机断层扫描装置CT采购项目,协调能力,组织公共医疗服务
43,嘉峪关市酒钢三中,嘉峪关市酒钢三中新校区教学楼公寓窗帘供货合同书,协调能力,保障学校教学运转
44,庆城县人民医院,庆城县人民医院医疗设备采购项目合同,协调能力,组织公共医疗服务
45,徽县教育局,徽县教育局2014年改薄设备采购项目合同,协调能力,组织教育公共服务
46,秦安县林业局,甘肃省秦安县2015年度林业重点项目苗木采购,协调能力,组织生态保护工程
47,清水县农业局,甘肃省清水县2014年中央财政现代农业生产发展项目全钢架无立柱塑料大棚建设项目,协调能力,组织农业产业发展
48,西和县财政局,西和县行政事业单位协议供货、车辆定点保险服务及银行存款服务供应商入围（第二包）,协调能力,组织政府采购管理
49,东乡县国土局,东乡县唐汪镇三合山土地开发整理采购项目合同,提取能力,获取土地资源开发
50,白银市靖远县东湾镇瓜园村,东湾镇瓜园村道路亮化工程太阳能路灯,协调能力,组织农村基础设施
51,临洮县人民医院,临洮县人民医院高清电子胃镜及结肠镜采购项目,协调能力,组织公共医疗服务
52,皋兰县财政局,皋兰县财政局村级一事一议村容村貌改造亮化采购项目购销合同,协调能力,组织农村公共服务
53,广河县农业综合开发办公室,2015年广河县农业综合开发项目工程合同书,协调能力,组织农业产业发展
54,皋兰县财政局,皋兰县财政局村级一事一议村容村貌改造亮化采购项目购销合同,协调能力,组织农村公共服务
55,康县农村综合改革领导小组办公室,康县2015一事一议财政补实物（水泥）项目,协调能力,组织农村基础设施
56,皋兰县财政局,皋兰县财政局村级一事一议村容村貌改造亮化采购项目购销合同,协调能力,组织农村公共服务
