年份,合同名称,主要标的名称,采购人,供应商,所属行业,合同金额num_万元,capacity_label,label_confidence,label_reason
2012,中国人民政治协商会议甘肃省静宁县委员会采购饮水机,静宁县2020年度政府采购协议供货,中国人民政治协商会议甘肃省静宁县委员会,静宁县百盛电器销售有限责任公司,,0.0699,coordination,0.3333333333333333,"关键词匹配(E:0,C:1,P:1)"
2012,重庆市政府采购货物购销合同,,铜元局街道,重庆安普电器有限公司,其他电子产品零售,0.41,coordination,0.1,默认分类（通用政府采购）
2012,车辆采购合同,商务车,重庆市荣昌区环境保护局,重庆智萃科技有限公司,,25.0,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2012,不动产登记中心采购电脑采购合同,华硕,重庆市万盛经济技术开发区国土房管局,重庆正轩科技有限公司,,2.46,extractive,0.6666666666666666,"关键词匹配(E:2,C:0,P:0)"
2012,办公设备采购合同,执法记录仪,平罗县司法局,平罗县卓美达高贸有限公司,,10.344,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2012,报警对讲设备采购合同,TC100-XA,永荣中学,荣昌县金刚安防设备有限公司,,3.538,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2012,安防智能平台采购合同,大华,永荣中学,重庆市荣昌区鸿运办公设备有限公司,,3.8025,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2012,垫江县三溪镇卫生院中医馆整修工程采购合同,垫江县三溪镇卫生院中医馆整修工程,重庆市垫江县三溪镇卫生院,重庆市丹瑞建筑工程有限公司,,15.0,coordination,0.4,"关键词匹配(E:0,C:2,P:2)"
2012,采煤沉限区受损农房等级复核鉴定开展采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆地之源地质工程检测有限公司,,25.5,coordination,0.1,默认分类（通用政府采购）
2012,国土空间规划科购笔记本电脑采购合同,华为,重庆市万盛经济技术开发区国土房管局,重庆市万盛经开区王凯电脑经营部,,1.1,extractive,0.3333333333333333,"关键词匹配(E:1,C:1,P:0)"
2012,专项业务费-万盛经开区2020年矿产资源技术支撑及矸石山安全监管技术服务采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆一三六地质矿产有限责任公司,,31.0,extractive,0.6666666666666666,"关键词匹配(E:2,C:0,P:0)"
2012,万盛经开区矿产资源总体规划（2021-2025）和规划环境影响评价报告采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆地质矿产研究院,,43.2,extractive,0.3333333333333333,"关键词匹配(E:2,C:2,P:1)"
2012,农村土地房屋和集体土地所有权成果质量验收采购合同,无,重庆市万盛经济技术开发区国土房管局,拓土发展有限公司,,24.8,extractive,0.6666666666666666,"关键词匹配(E:2,C:0,P:0)"
2012,农村乱占耕地建房问题摸排技术服务采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆华江地理信息有限公司,,29.6,coordination,0.1,默认分类（通用政府采购）
2012,办公桌椅一批采购合同,无,重庆市綦江区精神卫生中心,綦江区南洋家俱城,,13.42,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2012,病房库房定制柜采购合同,库房物品柜,重庆市綦江区精神卫生中心,綦江县南洋家具城,,12.16,coordination,0.1,默认分类（通用政府采购）
2012,医疗仪器采购合同,无抽搐电休克仪及配套,重庆市綦江区精神卫生中心,重庆永业医疗器械有限公司,,81.5,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2012,计算机设备销售合同,服务器,盐池县医疗保障局本级,宁夏华威盛通信息工程有限公司,,3.4,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2012,计算机设备销售合同,笔记本电脑,盐池县医疗保障局本级,宁夏华威盛通信息工程有限公司,,0.6499,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2012,翁源县中医院发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装采购项目,发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装,翁源县中医院,广州市九和工程有限公司,,1180.052808,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2012,昆区佳园小区北区硬化工程施工3标段,48216,包头市昆都仑区住房和城乡建设局,包头市第二建筑工程有限责任公司,,4.8216,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,榆林职业技术学院林学院后勤整体选择委托管理,高等教育服务,榆林职业技术学院,陕西榆林绿色阳光物业管理有限公司,,167.9,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2012,汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,汕头市龙湖区住房和城乡建设局,广东晖达工程顾问有限公司,,276.75925,coordination,0.8888888888888888,"关键词匹配(E:0,C:8,P:0)"
2012,苍溪县非正规垃圾填埋场防渗改造项目监理服务,苍溪县非正规垃圾填埋场防渗改造项目监理服务,广元市苍溪生态环境局,四川昌正工程咨询有限公司,,48.9,coordination,0.5714285714285714,"关键词匹配(E:0,C:4,P:2)"
2012,潮州市潮安区储备粮管理中心修缮工程定点议价采购合同,房屋修缮,潮州市潮安区储备粮管理中心,广东蓝堡建设有限公司,,15.210463,coordination,0.8,"关键词匹配(E:0,C:4,P:0)"
2012,印刷服务（电话本45元*6本=270元),印刷服务（电话本45元*6本=270元),伊春市老干部服务中心,伊春市人民政府文印中心,,0.027,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,办公设备打印机、复印机维修维护,办公设备打印机、复印机维修维护,伊春市老干部服务中心,伊春市伊春区鑫创想电脑科技店,,0.3659,coordination,0.9090909090909091,"关键词匹配(E:0,C:10,P:0)"
2012,男性家族排查系统建设（二期）,男性家族排查系统建设（二期）,黑龙江省垦区公安局绥化分局,深圳华大法医科技有限公司,,6.09024,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,1230,1230,大兴安岭地区市场监督管理局,加格达奇区创彩广告工作室,,0.123,coordination,0.1,默认分类（通用政府采购）
2012,（铁财购核字[2022]01435号）房屋维修,房屋维修,铁力市妇女联合会,铁力市景盛建筑装饰有限责任公司,,0.7,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
