年份,合同名称,主要标的名称,采购人,供应商,所属行业,合同金额num_万元,capacity_label,label_confidence,label_reason
2012,中国人民政治协商会议甘肃省静宁县委员会采购饮水机,静宁县2020年度政府采购协议供货,中国人民政治协商会议甘肃省静宁县委员会,静宁县百盛电器销售有限责任公司,,0.0699,coordination,0.3,默认:通用采购
2012,重庆市政府采购货物购销合同,,铜元局街道,重庆安普电器有限公司,其他电子产品零售,0.41,coordination,0.3,默认:通用采购
2012,车辆采购合同,商务车,重庆市荣昌区环境保护局,重庆智萃科技有限公司,,25.0,coordination,0.3,默认:通用采购
2012,不动产登记中心采购电脑采购合同,华硕,重庆市万盛经济技术开发区国土房管局,重庆正轩科技有限公司,,2.46,extractive,0.85,关键词决定:汲取
2012,办公设备采购合同,执法记录仪,平罗县司法局,平罗县卓美达高贸有限公司,,10.344,compliance,0.95,采购人决定:合规
2012,报警对讲设备采购合同,TC100-XA,永荣中学,荣昌县金刚安防设备有限公司,,3.538,compliance,0.95,采购人决定:合规
2012,安防智能平台采购合同,大华,永荣中学,重庆市荣昌区鸿运办公设备有限公司,,3.8025,compliance,0.95,采购人决定:合规
2012,垫江县三溪镇卫生院中医馆整修工程采购合同,垫江县三溪镇卫生院中医馆整修工程,重庆市垫江县三溪镇卫生院,重庆市丹瑞建筑工程有限公司,,15.0,compliance,0.95,采购人决定:合规
2012,采煤沉限区受损农房等级复核鉴定开展采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆地之源地质工程检测有限公司,,25.5,coordination,0.3,默认:通用采购
2012,国土空间规划科购笔记本电脑采购合同,华为,重庆市万盛经济技术开发区国土房管局,重庆市万盛经开区王凯电脑经营部,,1.1,coordination,0.3,默认:通用采购
2012,专项业务费-万盛经开区2020年矿产资源技术支撑及矸石山安全监管技术服务采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆一三六地质矿产有限责任公司,,31.0,extractive,0.85,关键词决定:汲取
