年份,序号,采购人,合同名称,ML预测,Claude判断,一致
2012,1,中国人民政治协商会议甘肃省静宁县委员会,中国人民政治协商会议甘肃省静宁县委员会采购饮水机,协调能力,协调能力,✓
2012,2,铜元局街道,重庆市政府采购货物购销合同,协调能力,协调能力,✓
2012,3,重庆市荣昌区环境保护局,车辆采购合同,协调能力,合规能力,✗
2012,4,重庆市万盛经济技术开发区国土房管局,不动产登记中心采购电脑采购合同,协调能力,协调能力,✓
2012,5,平罗县司法局,办公设备采购合同,合规能力,合规能力,✓
2012,6,永荣中学,报警对讲设备采购合同,协调能力,协调能力,✓
2012,7,永荣中学,安防智能平台采购合同,协调能力,协调能力,✓
2012,8,重庆市垫江县三溪镇卫生院,垫江县三溪镇卫生院中医馆整修工程采购合同,协调能力,协调能力,✓
2012,9,重庆市万盛经济技术开发区国土房管局,采煤沉限区受损农房等级复核鉴定开展采购合同,协调能力,协调能力,✓
2012,10,重庆市万盛经济技术开发区国土房管局,国土空间规划科购笔记本电脑采购合同,协调能力,协调能力,✓
2012,11,重庆市万盛经济技术开发区国土房管局,专项业务费-万盛经开区2020年矿产资源技术支撑及矸石山安全监管技术服务采购合同,协调能力,协调能力,✓
2012,12,重庆市万盛经济技术开发区国土房管局,万盛经开区矿产资源总体规划（2021-2025）和规划环境影响评价报告采购合同,协调能力,协调能力,✓
2012,13,重庆市万盛经济技术开发区国土房管局,农村土地房屋和集体土地所有权成果质量验收采购合同,协调能力,协调能力,✓
2012,14,重庆市万盛经济技术开发区国土房管局,农村乱占耕地建房问题摸排技术服务采购合同,协调能力,协调能力,✓
2012,15,重庆市綦江区精神卫生中心,办公桌椅一批采购合同,协调能力,协调能力,✓
2012,16,重庆市綦江区精神卫生中心,病房库房定制柜采购合同,协调能力,协调能力,✓
2012,17,重庆市綦江区精神卫生中心,医疗仪器采购合同,协调能力,协调能力,✓
2012,18,盐池县医疗保障局本级,计算机设备销售合同,协调能力,协调能力,✓
2012,19,盐池县医疗保障局本级,计算机设备销售合同,协调能力,协调能力,✓
2012,20,翁源县中医院,翁源县中医院发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装采购项目,协调能力,协调能力,✓
2012,21,包头市昆都仑区住房和城乡建设局,昆区佳园小区北区硬化工程施工3标段,协调能力,协调能力,✓
2012,22,榆林职业技术学院,榆林职业技术学院林学院后勤整体选择委托管理,协调能力,协调能力,✓
2012,23,汕头市龙湖区住房和城乡建设局,汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,协调能力,协调能力,✓
2012,24,广元市苍溪生态环境局,苍溪县非正规垃圾填埋场防渗改造项目监理服务,协调能力,合规能力,✗
2012,25,潮州市潮安区储备粮管理中心,潮州市潮安区储备粮管理中心修缮工程定点议价采购合同,协调能力,协调能力,✓
2012,26,伊春市老干部服务中心,印刷服务（电话本45元*6本=270元),协调能力,协调能力,✓
2012,27,伊春市老干部服务中心,办公设备打印机、复印机维修维护,协调能力,协调能力,✓
2012,28,黑龙江省垦区公安局绥化分局,男性家族排查系统建设（二期）,合规能力,合规能力,✓
2012,29,大兴安岭地区市场监督管理局,1230,合规能力,合规能力,✓
2012,30,铁力市妇女联合会,（铁财购核字[2022]01435号）房屋维修,协调能力,协调能力,✓
2012,31,漠河市阳光社区卫生服务中心,关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,协调能力,协调能力,✓
2012,32,哈尔滨市香坊区消防救援大队,印刷宣传品,协调能力,协调能力,✓
2012,33,黑河市爱辉区林业和草原局,条幅、宣传单,协调能力,协调能力,✓
2012,34,铁力市林业和草原局,改造车库项目,协调能力,协调能力,✓
2012,35,逊克县逊河镇大公河村民委员会,逊河镇大公河村清淤修路项目,协调能力,协调能力,✓
2012,36,大庆市大同区统计局,表格印刷,提取能力,提取能力,✓
2012,37,泰来县图书馆,博物馆可移动文物监理费,协调能力,协调能力,✓
2012,38,中国共产党南岔县纪律检查委员会、南岔县监察委员会,审查调查实务手册,合规能力,合规能力,✓
2012,39,大庆市大同区总工会,会议记录薄,协调能力,协调能力,✓
