模型,准确率,F1_weighted,F1_macro,协调能力召回,合规能力召回,提取能力召回
SVM + tfidf_char_2_4,0.9684044233807267,0.9684273363176457,0.9468275828652807,0.9831964152352501,0.9259259259259259,0.9362808842652796
LinearSVC,0.9684044233807267,0.9684273363176457,0.9468275828652807,0.9831964152352501,0.9259259259259259,0.9362808842652796
VotingEnsemble,0.9684044233807267,0.9685252736122393,0.9463544541799088,0.9824495892457058,0.9430199430199431,0.9310793237971391
MLP,0.966824644549763,0.9666021004107935,0.9439975601386769,0.9873039581777446,0.8917378917378918,0.929778933680104
Bagging_SVM,0.966824644549763,0.9668237444828974,0.9429546206868175,0.9839432412247946,0.9173789173789174,0.929778933680104
RandomForest,0.9660347551342812,0.9657942135126675,0.9424071028909909,0.9887976101568334,0.9002849002849003,0.9167750325097529
SVM + tfidf_char_word_combined,0.9652448657187994,0.9653007038738397,0.9423141765066637,0.9805825242718447,0.9259259259259259,0.929778933680104
LogisticRegression_C10,0.9631384939441812,0.9635309728587584,0.9403478075418498,0.9716206123973115,0.9601139601139601,0.9349804941482445
GradientBoosting,0.9644549763033176,0.9639768296639144,0.9375545023556082,0.9917849141150112,0.8632478632478633,0.9154746423927178
SGD_log,0.9620853080568721,0.961672251742088,0.9356323732946413,0.9895444361463779,0.8803418803418803,0.9037711313394018
AdaptiveThreshold,0.9552395997893628,0.9557772395758193,0.9293222915313236,0.9652725914861837,0.9629629629629629,0.9167750325097529
LogisticRegression,0.954449710373881,0.9549226844649014,0.9268685586812252,0.9667662434652726,0.9430199430199431,0.9167750325097529
FocalLoss_LR,0.9536598209583992,0.9538099252529425,0.924677930041474,0.9723674383868559,0.9116809116809117,0.9076723016905072
SVM + tfidf_word_1_2,0.9123222748815166,0.9088076460982475,0.8457145634581967,0.9805825242718447,0.6467236467236467,0.7958387516254877
SVM + tfidf_word_1_3,0.9123222748815166,0.9088076460982475,0.8457145634581967,0.9805825242718447,0.6467236467236467,0.7958387516254877
