序号,采购人,合同名称,分类,理由
13000,广州市番禺区国家税务局,广州市番禺区国家税务局办公家具供货合同,提取能力,税务系统
13001,正宁县农村能源建设办公室,正宁县农村能源办公室农村能源示范项目,协调能力,农村能源
13002,合肥新创投资控股有限公司,新站区淮合花园B区工程监理,协调能力,住房建设
13003,安徽大学,安徽大学数据库采购第13包,协调能力,高等教育
13004,中国气象局上海台风研究所,合同协议书,协调能力,气象服务
13005,安徽省旅游局,安徽旅游形象宣传推广（港澳开展）第4包,协调能力,旅游管理
13006,淮北师范大学,淮北师范大学2015提升计划及振兴计划设备采购第3包,协调能力,高等教育
13007,临泽县大中型水库移民后期扶持项目办公室,临泽县2015年大中型水库移民后期扶持建设项目新华镇明泉村渠道衬砌工程施工合同包四,协调能力,水利管理
13008,安徽省科学技术协会,第八届安徽省自然科学优秀学术论文证书及获奖名册等印制,协调能力,科普宣传
13009,桂林市国家税务局,采购合同书,提取能力,税务系统
13010,合肥燃气集团有限公司,合肥燃气集团大型工程项目结算审计及专项工程跟踪审计定点单位,协调能力,燃气服务
13011,桂林市国家税务局,采购合同,提取能力,税务系统
13012,合肥市包河区民政局,包河区民政局社工及为老协理员服务外包第2包,协调能力,民政服务
13013,酒泉市人民防空办公室,酒泉市人民防空办公室综合训练基地造价清单和控制价编制采购项目,协调能力,人防建设
13014,临泽县治沙林场,临泽县治沙林场基础设施建设项目道路工程施工合同,协调能力,林业管理
13015,临泽县大中型水库移民后期扶持项目办公室,临泽县2015年大中型水库移民后期扶持建设项目新华镇宣威村华兴支渠衬砌工程施工合同包一,协调能力,水利管理
13016,北京化工大学,北京化工大学仪器设备购置十二项目（共享数据中心平台）,协调能力,高等教育
13017,甘肃省水利厅信息中心,甘肃省水利数据中心建设规划专题研究项目采购合同,协调能力,水利管理
13018,中央歌剧院,政府采购合同,协调能力,文艺演出
13019,中国民用航空局空中交通管理局航空气象中心,中国民用航空局空中交通管理局航空气象中心机架式服务器采购项目,协调能力,民航管理
13020,陇西县教育体育局,陇西县教育体育局学前教育设备采购项目（二次）,协调能力,学前教育
13021,中共安徽省委组织部,省管干部档案数字化技术服务,协调能力,组织工作
13022,临泽县中医医院,临泽县中医医院彩色超声诊断仪采购项目,协调能力,医疗卫生
13023,中国传媒大学,2015第043号播音学院虚拟演播室采购合同,协调能力,高等教育
13024,北海市国家税务局,北海市国家税务局稽查局附属用房（一至六层）维修工程施工合同,提取能力,税务系统
13025,张掖市甘州区上秦镇人民政府,张掖市甘州区上秦镇综合文化站改建建筑装饰工程施工合同,协调能力,乡镇管理
13026,临泽县沙河镇惠民社区居民委员会,临泽县沙河镇惠民社区办公楼装修工程施工合同,协调能力,社区服务
13027,安徽大学,安徽大学数据库采购第6包,协调能力,高等教育
13028,正宁县广播电影电视局,正宁县广播电影电视局户户通接收机采购项目政府采购合同,协调能力,广播电视
13029,甘肃省人民检察院,全省检察机关服装项目政府采购合同,合规能力,检察系统
13030,临泽县倪家营镇南台村村民委员会,临泽县倪家营镇南台村太阳能路灯（景观灯）政府采购合同,协调能力,村级公益建设
13031,中国人民银行金融信息中心,中国人民银行金融信息中心中经专网数据信息服务采购合同,提取能力,金融监管
13032,甘肃省核与辐射安全中心,甘肃省核与辐射安全中心印刷政府采购项目政府采购合同,协调能力,环境保护
13033,中国民用航空局空中交通管理局航空气象中心,中国民用航空局空中交通管理局航空气象中心显示器采购项目,协调能力,民航管理
13034,甘肃省白龙江林业管理局,甘肃省白龙江林区森林重点火险区综合治理三期工程项目供货合同,协调能力,林业管理
13035,临泽县房产管理局,临泽县房产管理局惠民小区备用螺杆式水源热泵机组供销合同,协调能力,房产管理
13036,中国民用航空局空中交通管理局航空气象中心,中国民用航空局空中交通管理局航空气象中心路由器模块采购项目,协调能力,民航管理
13037,甘肃省歌剧院,甘肃省歌剧院小剧场改造工程合同协议书,协调能力,文艺演出
13038,甘肃祁连山国家级自然保护区管理局,甘肃祁连山国家级自然保护区管理局森林生态效益补偿基金公共管护项目采购合同,协调能力,自然保护
13039,安徽大学,安徽大学数据库采购第9包,协调能力,高等教育
13040,安徽省木竹检查管理站,安徽省木竹检查管理站林业"五证"印制,协调能力,林业管理
13041,中华人民共和国东山出入境检验检疫局,政府采购合同,合规能力,出入境检验检疫
13042,临泽县新华镇向前村村民委员会,临泽县新华镇向前村村内道路工程政府采购项目施工合同,协调能力,村级公益建设
13043,临泽县农村饮水安全管理总站,临泽县蓼泉镇双泉村、园艺场饮水安全工程施工合同,协调能力,农村水利
13044,安徽工商职业学院,安徽工商职业学院二期建设围墙构筑工程,协调能力,高等教育
13045,国家测绘地理信息局第一大地测量队,中央国家机关政府采购网上竞价合同,提取能力,测绘服务
13046,古浪县第一中学,古浪县第一中学青少年校外活动场所设备采购项目供货合同,协调能力,基础教育
13047,安徽新闻出版职业技术学院,安徽新闻出版职业技术学院教学及管理软件采购第2包：教学及管理软件,协调能力,高等教育
13048,安徽省体育局,安徽省体育馆改造第3包,协调能力,体育管理
13049,甘肃省张掖市五泉林场,甘肃省张掖市五泉林场基础设施道路建设工程施工合同,协调能力,林业管理
13050,安徽省特殊教育中专学校,安徽省特殊教育中专学校浴室加热设备,协调能力,特殊教育
13051,兰州大学第一医院,兰州大学第一医院男性疾病诊疗系统及一拖六中央控制监护仪项目,协调能力,医疗卫生
13052,江苏出入境检验检疫局,中央单位批量集中采购简易合同,合规能力,出入境检验检疫
13053,中国地震应急搜救中心,地震现场灾情调查与指挥调度平台及终端,协调能力,地震应急
